| epoch   4 |  9600/ 9945 batches | lr 0.10 | ms/batch 18.30 | loss  5.77 | ppl   319.14
| epoch   4 |  9800/ 9945 batches | lr 0.10 | ms/batch 18.30 | loss  5.91 | ppl   370.34
Finished one epoch
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 187.36s | valid loss  6.12 | valid ppl   456.53
-----------------------------------------------------------------------------------------
| epoch   5 |   200/ 9945 batches | lr 0.10 | ms/batch 18.43 | loss  5.88 | ppl   357.64
| epoch   5 |   400/ 9945 batches | lr 0.10 | ms/batch 18.35 | loss  5.81 | ppl   332.92
| epoch   5 |   600/ 9945 batches | lr 0.10 | ms/batch 18.40 | loss  5.79 | ppl   326.51
| epoch   5 |   800/ 9945 batches | lr 0.10 | ms/batch 18.33 | loss  5.73 | ppl   307.55
| epoch   5 |  1000/ 9945 batches | lr 0.10 | ms/batch 18.31 | loss  5.85 | ppl   347.66
| epoch   5 |  1200/ 9945 batches | lr 0.10 | ms/batch 18.31 | loss  5.57 | ppl   262.16
| epoch   5 |  1400/ 9945 batches | lr 0.10 | ms/batch 18.33 | loss  5.77 | ppl   321.22
| epoch   5 |  1600/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  5.72 | ppl   303.70
| epoch   5 |  1800/ 9945 batches | lr 0.10 | ms/batch 18.31 | loss  5.76 | ppl   316.38
| epoch   5 |  2000/ 9945 batches | lr 0.10 | ms/batch 18.33 | loss  5.71 | ppl   301.74
| epoch   5 |  2200/ 9945 batches | lr 0.10 | ms/batch 18.34 | loss  5.74 | ppl   311.28
| epoch   5 |  2400/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  5.76 | ppl   316.57
| epoch   5 |  2600/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  5.75 | ppl   314.03
| epoch   5 |  2800/ 9945 batches | lr 0.10 | ms/batch 18.31 | loss  5.68 | ppl   294.00
| epoch   5 |  3000/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  5.77 | ppl   319.32
| epoch   5 |  3200/ 9945 batches | lr 0.10 | ms/batch 18.31 | loss  5.68 | ppl   293.54
| epoch   5 |  3400/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  5.75 | ppl   315.47
| epoch   5 |  3600/ 9945 batches | lr 0.10 | ms/batch 18.34 | loss  5.70 | ppl   300.06
| epoch   5 |  3800/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  5.74 | ppl   310.39
| epoch   5 |  4000/ 9945 batches | lr 0.10 | ms/batch 18.31 | loss  5.66 | ppl   288.52
| epoch   5 |  4200/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  5.76 | ppl   318.38
| epoch   5 |  4400/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  5.78 | ppl   324.04
| epoch   5 |  4600/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  5.71 | ppl   302.76
| epoch   5 |  4800/ 9945 batches | lr 0.10 | ms/batch 18.31 | loss  5.69 | ppl   295.83
| epoch   5 |  5000/ 9945 batches | lr 0.10 | ms/batch 18.34 | loss  5.72 | ppl   305.61
| epoch   5 |  5200/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  5.72 | ppl   304.84
| epoch   5 |  5400/ 9945 batches | lr 0.10 | ms/batch 18.30 | loss  5.69 | ppl   295.43
| epoch   5 |  5600/ 9945 batches | lr 0.10 | ms/batch 18.33 | loss  5.63 | ppl   278.11
| epoch   5 |  5800/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  5.69 | ppl   295.21
| epoch   5 |  6000/ 9945 batches | lr 0.10 | ms/batch 18.29 | loss  5.70 | ppl   298.05
